Date,Open,High,Low,Close,Adj Close,Volume
5/28/15,212.330002,212.589996,211.630005,212.460007,188.607208,74974600
5/29/15,212.380005,212.429993,210.820007,211.139999,187.435379,124919600
6/1/15,211.940002,212.339996,210.619995,211.570007,187.817139,93338800
6/2/15,211.020004,212.190002,210.270004,211.360001,187.630676,91531000
6/3/15,212,212.669998,211.330002,211.919998,188.127823,87820900
6/4/15,211.070007,211.860001,209.75,210.130005,186.538773,151882800
6/5/15,209.949997,210.580002,208.979996,209.770004,186.219177,121704700
6/8/15,209.639999,209.820007,208.389999,208.479996,185.07402,89063300
6/9/15,208.449997,209.100006,207.690002,208.449997,185.047379,105034700
6/10/15,209.369995,211.410004,209.300003,210.949997,187.266708,134551300
6/11/15,211.479996,212.089996,211.199997,211.630005,187.870392,73876400
6/12/15,210.639999,211.479996,209.679993,210.009995,186.432251,135382400
6/15/15,208.639999,209.449997,207.789993,209.110001,185.633331,124384200
6/16/15,208.929993,210.350006,208.720001,210.25,186.645325,85308200
6/17/15,210.589996,211.320007,209.360001,210.589996,186.947144,126708600
6/18/15,211.309998,213.339996,210.630005,212.779999,188.891251,165867900
6/19/15,211.460007,211.550003,210.360001,210.809998,188.052765,130478700
6/22/15,211.910004,212.589996,211.639999,211.889999,189.016174,70696000
6/23/15,212.139999,212.440002,211.570007,212.039993,189.149979,68476800
6/24/15,211.720001,212.169998,210.470001,210.5,187.77623,92307300
6/25/15,211.100006,211.25,209.770004,209.860001,187.205276,97107400
6/26/15,210.289993,210.580002,209.160004,209.820007,187.169601,104174800
6/29/15,208.050003,209.830002,205.330002,205.419998,183.244598,202621300
6/30/15,207.259995,207.320007,205.279999,205.850006,183.628174,182925100
7/1/15,207.729996,208.029999,206.559998,207.5,185.100052,135979900
7/2/15,208.070007,208.270004,206.809998,207.309998,184.930557,104373700
7/6/15,205.770004,207.649994,205.529999,206.720001,184.404266,117975400
7/7/15,206.960007,208.169998,204.110001,208.020004,185.563965,173820200
7/8/15,206.419998,206.759995,204.25,204.529999,182.450699,164020100
7/9/15,207.039993,207.350006,204.770004,204.899994,182.780716,144113100
7/10/15,207.289993,207.979996,204.949997,207.479996,185.082184,129456900
7/13/15,208.990005,209.899994,208.940002,209.770004,187.124985,106069400
7/14/15,209.720001,211.050003,209.649994,210.679993,187.936783,81709600
7/15/15,210.729996,211.279999,210.039993,210.610001,187.874313,97914100
7/16/15,211.869995,212.300003,211.580002,212.300003,189.381882,106683300
7/17/15,212.289993,212.550003,211.800003,212.479996,189.54248,89030000
7/20/15,212.75,213.179993,212.210007,212.589996,189.640625,70446800
7/21/15,212.429993,212.740005,211.389999,211.75,188.891281,77965000
7/22/15,210.929993,211.770004,210.889999,211.369995,188.552307,88667900
7/23/15,211.529999,211.649994,209.75,210.179993,187.490753,90509100
7/24/15,210.300003,210.369995,207.600006,208,185.546066,117755000
7/27/15,206.940002,207.550003,206.259995,206.789993,184.466675,132361100
7/28/15,207.789993,209.5,206.800003,209.330002,186.732529,123544800
7/29/15,209.479996,211.039993,209.309998,210.770004,188.017075,105791300
7/30/15,210.160004,211.020004,209.419998,210.820007,188.061676,91304400
7/31/15,211.419998,211.449997,210.160004,210.5,187.77623,103266900
8/3/15,210.460007,210.529999,208.649994,209.789993,187.142853,113965700
8/4/15,209.699997,210.25,208.800003,209.380005,186.777176,81820800
8/5/15,210.449997,211.309998,209.729996,210.070007,187.392639,85786800
8/6/15,210.289993,210.419998,207.649994,208.350006,185.858337,116030800
8/7/15,208.160004,208.339996,206.869995,207.949997,185.50148,117858000
8/10/15,209.279999,210.669998,209.279999,210.570007,187.838684,80270700
8/11/15,208.970001,209.470001,207.759995,208.669998,186.143768,126081400
8/12/15,207.110001,209.139999,205.360001,208.919998,186.366791,172123700
8/13/15,208.729996,209.550003,208.009995,208.660004,186.134857,89383300
8/14/15,208.429993,209.509995,208.259995,209.419998,186.812836,72786500
8/17/15,208.710007,210.589996,208.160004,210.589996,187.856491,79072600
8/18/15,210.259995,210.679993,209.699997,209.979996,187.312332,71692700
8/19/15,209.089996,210.009995,207.350006,208.320007,185.831558,172946000
8/20/15,206.509995,208.289993,203.899994,203.970001,181.951141,194327900
8/21/15,201.729996,203.940002,197.520004,197.830002,176.473969,346588500
8/24/15,187.490005,197.479996,182.399994,189.5,169.043152,507244300
8/25/15,195.429993,195.449997,186.919998,187.270004,167.053909,369833100
8/26/15,192.080002,194.789993,188.369995,194.460007,173.467773,339257000
8/27/15,197.020004,199.419998,195.210007,199.270004,177.75853,274143900
8/28/15,198.5,199.839996,197.919998,199.279999,177.76741,160414400
8/31/15,198.110001,199.130005,197.009995,197.669998,176.331238,163298800
9/1/15,193.119995,194.770004,190.729996,191.770004,171.06813,256000400
9/2/15,194.619995,195.460007,192.419998,195.410004,174.315216,160269300
9/3/15,196.259995,198.050003,194.960007,195.550003,174.440094,152087800
9/4/15,192.850006,193.860001,191.610001,192.589996,171.799606,207081000
9/8/15,195.940002,197.610001,195.169998,197.429993,176.117111,116025700
9/9/15,199.320007,199.470001,194.350006,194.789993,173.762131,149347700
9/10/15,194.559998,197.220001,194.25,195.850006,174.707672,158611100
9/11/15,195.380005,196.820007,194.529999,196.740005,175.501633,119691200
9/14/15,196.949997,197.009995,195.429993,196.009995,174.850479,79452000
9/15/15,196.610001,198.990005,195.960007,198.460007,177.03595,113806200
9/16/15,198.820007,200.410004,198.410004,200.179993,178.570267,99581600
9/17/15,200.020004,202.889999,199.279999,199.729996,178.168823,276046600
9/18/15,195.710007,198.679993,194.960007,195.449997,175.257278,223657500
9/21/15,196.440002,197.679993,195.210007,196.460007,176.162949,105726200
9/22/15,193.880005,194.460007,192.559998,193.910004,173.876419,153890900
9/23/15,194.110001,194.669998,192.910004,193.600006,173.598465,92790600
9/24/15,192.149994,193.449997,190.559998,192.899994,172.970749,159378800
9/25/15,194.639999,195,191.809998,192.850006,172.925934,155054800
9/28/15,191.779999,191.910004,187.639999,188.009995,168.585953,178515900
9/29/15,188.270004,189.740005,186.929993,188.119995,168.684616,159045600
9/30/15,190.369995,191.830002,189.440002,191.630005,171.83197,163452000
10/1/15,192.080002,192.490005,189.820007,192.130005,172.280319,131079000
10/2/15,189.770004,195.029999,189.119995,195,174.853806,211003300
10/5/15,196.460007,198.740005,196.330002,198.470001,177.965317,126320800
10/6/15,198.309998,198.979996,197,197.789993,177.355545,110274500
10/7/15,198.899994,199.830002,197.479996,199.410004,178.808197,124307300
10/8/15,198.949997,201.550003,198.589996,201.210007,180.422226,153055200
10/9/15,201.380005,201.899994,200.580002,201.330002,180.529816,107069200
10/12/15,201.419998,201.759995,200.910004,201.520004,180.70018,56395600
10/13/15,200.649994,202.160004,200.050003,200.25,179.561401,88038700
10/14/15,200.179993,200.869995,198.940002,199.289993,178.700577,99106200
10/15/15,200.080002,202.360001,199.639999,202.350006,181.444458,134142200
10/16/15,202.830002,203.289993,201.919998,203.270004,182.269394,114580100
10/19/15,202.5,203.369995,202.130005,203.369995,182.359039,76523900
10/20/15,202.850006,203.839996,202.550003,203.110001,182.125931,78448500
10/21/15,203.610001,203.789993,201.649994,201.850006,180.996094,102038000
10/22/15,202.979996,205.509995,201.850006,205.259995,184.053787,174911700
10/23/15,207.25,207.949997,206.300003,207.509995,186.07132,144442300
10/26/15,207.300003,207.369995,206.559998,207,185.614029,69033000
10/27/15,206.199997,207,205.789993,206.600006,185.255325,77905800
10/28/15,207,208.979996,206.210007,208.949997,187.362549,135906700
10/29/15,208.350006,209.270004,208.210007,208.830002,187.254944,90525500
10/30/15,209.059998,209.440002,207.740005,207.929993,186.447968,131076900
11/2/15,208.320007,210.619995,208.169998,210.389999,188.653809,86270800
11/3/15,209.970001,211.660004,209.699997,211,189.200775,95246100
11/4/15,211.350006,211.5,209.720001,210.360001,188.626892,96224500
11/5/15,210.429993,210.979996,209.089996,210.149994,188.438583,78408700
11/6/15,209.740005,210.320007,208.460007,210.039993,188.339951,110471500
11/9/15,209.309998,209.490005,206.949997,208.080002,186.582458,131008700
11/10/15,207.509995,208.600006,207.190002,208.559998,187.012848,75874600
11/11/15,208.880005,208.940002,207.660004,207.740005,186.277618,67846000
11/12/15,206.5,207.059998,204.820007,204.839996,183.677216,121315200
11/13/15,204.350006,204.669998,202.440002,202.539993,181.614761,153577100
11/16/15,202.320007,205.690002,202.179993,205.619995,184.376602,117645200
11/17/15,205.990005,207.039993,204.880005,205.470001,184.242096,121123700
11/18/15,206.039993,208.899994,205.990005,208.729996,187.165344,121342500
11/19/15,208.589996,209.050003,208.199997,208.550003,187.003906,88220500
11/20/15,209.449997,210.119995,208.860001,209.309998,187.685364,94011500
11/23/15,209.380005,209.979996,208.520004,209.070007,187.470123,64931200
11/24/15,207.869995,209.830002,207.410004,209.350006,187.721237,98874400
11/25/15,209.5,209.740005,209.009995,209.320007,187.694336,51980100
11/27/15,209.429993,209.800003,208.860001,209.559998,187.909546,37317800
11/30/15,209.75,209.889999,208.559998,208.690002,187.129456,112822700
12/1/15,209.440002,210.820007,209.110001,210.679993,188.913788,97858400
12/2/15,210.619995,211,208.229996,208.529999,186.985947,108441300
12/3/15,208.830002,209.149994,204.75,205.610001,184.367645,166224200
12/4/15,205.610001,209.970001,205.610001,209.619995,187.963318,192913900
12/7/15,209.229996,209.729996,207.199997,208.350006,186.824554,102027100
12/8/15,206.490005,208.289993,205.779999,206.949997,185.569183,103372400
12/9/15,206.190002,208.679993,204.179993,205.339996,184.125519,162401500
12/10/15,205.419998,207.429993,205.139999,205.869995,184.600769,116128900
12/11/15,203.350006,204.139999,201.509995,201.880005,181.022964,211173300
12/14/15,202.070007,203.050003,199.949997,202.899994,181.937622,182385200
12/15/15,204.699997,206.110001,202.869995,205.029999,183.847549,154069600
12/16/15,206.369995,208.389999,204.800003,208.029999,186.537598,197017000
12/17/15,208.399994,208.479996,204.839996,204.860001,183.695145,173092500
12/18/15,202.770004,202.929993,199.830002,200.020004,180.422592,251393500
12/21/15,201.410004,201.880005,200.089996,201.669998,181.910904,99094300
12/22/15,202.720001,203.850006,201.550003,203.5,183.56163,111026200
12/23/15,204.690002,206.070007,204.580002,206.020004,185.834747,110987200
12/24/15,205.720001,206.330002,205.419998,205.679993,185.527985,48539600
12/28/15,204.860001,205.259995,203.940002,205.210007,185.104141,65899900
12/29/15,206.509995,207.789993,206.470001,207.399994,187.079483,92640700
12/30/15,207.110001,207.210007,205.759995,205.929993,185.75354,63317700
12/31/15,205.130005,205.889999,203.869995,203.869995,183.89537,114877900
1/4/16,200.490005,201.029999,198.589996,201.020004,181.324615,222353500
1/5/16,201.399994,201.899994,200.050003,201.360001,181.631287,110845800
1/6/16,198.339996,200.059998,197.600006,198.820007,179.340149,152112600
1/7/16,195.330002,197.440002,193.589996,194.050003,175.037537,213436100
1/8/16,195.190002,195.850006,191.580002,191.919998,173.116211,209817200
1/11/16,193.009995,193.410004,189.820007,192.110001,173.287613,187941300
1/12/16,193.820007,194.550003,191.139999,193.660004,174.685745,172330500
1/13/16,194.449997,194.860001,188.380005,188.830002,170.328918,221168900
1/14/16,189.550003,193.259995,187.660004,191.929993,173.125198,240795600
1/15/16,186.770004,188.759995,185.520004,187.809998,169.40889,324846400
1/19/16,189.960007,190.110001,186.199997,188.059998,169.634384,195244400
1/20/16,185.029999,187.5,181.020004,185.649994,167.460541,286547800
1/21/16,186.210007,188.869995,184.639999,186.690002,168.398636,195772900
1/22/16,189.779999,190.759995,188.880005,190.520004,171.853317,168319600
1/25/16,189.919998,190.149994,187.410004,187.639999,169.255524,130371700
1/26/16,188.419998,190.529999,188.020004,190.199997,171.564682,141036800
1/27/16,189.580002,191.559998,187.059998,188.130005,169.697525,185681700
1/28/16,189.960007,190.199997,187.160004,189.110001,170.581528,143798800
1/29/16,190.020004,193.880005,189.880005,193.720001,174.739838,210529300
2/1/16,192.529999,194.580002,191.839996,193.649994,174.676697,136061600
2/2/16,191.960007,191.970001,189.539993,190.160004,171.528625,182564900
2/3/16,191.410004,191.779999,187.100006,191.300003,172.556961,205054900
2/4/16,190.710007,192.75,189.960007,191.600006,172.82753,139531800
2/5/16,190.990005,191.669998,187.199997,187.949997,169.535202,180788300
2/8/16,185.770004,186.119995,182.800003,185.419998,167.253052,191526700
2/9/16,183.360001,186.940002,183.199997,185.429993,167.26207,184513100
2/10/16,186.410004,188.339996,185.119995,185.270004,167.117752,148214100
2/11/16,182.339996,184.100006,181.089996,182.860001,164.943848,219058900
2/12/16,184.960007,186.649994,183.960007,186.630005,168.344513,127632400
2/16/16,188.770004,189.809998,187.630005,189.779999,171.185867,120250700
2/17/16,191.160004,193.320007,191.009995,192.880005,173.982162,136009500
2/18/16,193.199997,193.270004,191.720001,192.089996,173.269547,102343000
2/19/16,191.169998,192.179993,190.449997,192,173.18837,114793000
2/22/16,193.869995,194.949997,193.789993,194.779999,175.695984,103640300
2/23/16,194,194.320007,192.179993,192.320007,173.477005,111455300
2/24/16,190.630005,193.529999,189.320007,193.199997,174.270782,150812200
2/25/16,193.729996,195.550003,192.830002,195.539993,176.381516,110728300
2/26/16,196.570007,196.679993,194.899994,195.089996,175.975616,129833700
2/29/16,195.110001,196.229996,193.330002,193.559998,174.59552,125918100
3/1/16,195.009995,198.210007,194.449997,198.110001,178.699707,141799700
3/2/16,197.740005,199.059998,197.25,199,179.502533,102415000
3/3/16,198.789993,199.800003,198.110001,199.779999,180.206085,95172200
3/4/16,200.009995,201.350006,199.029999,200.429993,180.792389,129293600
3/7/16,199.339996,201.070007,199.25,200.589996,180.936752,100219000
3/8/16,199.320007,199.919998,198.210007,198.399994,178.961304,123974900
3/9/16,199.360001,199.789993,198.429993,199.380005,179.845291,94801200
3/10/16,199.960007,201.070007,197.380005,199.539993,179.989594,156838700
3/11/16,201.259995,202.809998,199.520004,202.759995,182.894104,137964500
3/14/16,202.160004,203.039993,201.770004,202.5,182.659592,73612000
3/15/16,201.360001,202.529999,201.050003,202.169998,182.361938,93169100
3/16/16,201.600006,203.820007,201.550003,203.339996,183.417282,129303200
3/17/16,203.240005,205.229996,202.770004,204.630005,184.580902,134278500
3/18/16,204.169998,204.779999,203.800003,204.380005,185.306259,138372400
3/21/16,204.070007,204.940002,203.800003,204.669998,185.569183,72926700
3/22/16,203.759995,205.229996,203.570007,204.559998,185.469421,97471900
3/23/16,204.110001,204.330002,203.009995,203.210007,184.245438,81052500
3/24/16,202,203.160004,201.740005,203.119995,184.163879,84360900
3/28/16,203.610001,203.860001,202.710007,203.240005,184.272629,62408200
3/29/16,202.759995,205.25,202.399994,205.119995,185.977142,92922900
3/30/16,206.300003,206.869995,205.589996,206.020004,186.793198,86365300
3/31/16,205.910004,206.410004,205.330002,205.520004,186.33989,94584100
4/1/16,204.350006,207.139999,203.979996,206.919998,187.609177,114423500
4/4/16,206.830002,207.070007,205.889999,206.25,187.001724,63497000
4/5/16,204.669998,206.259995,203.889999,204.190002,185.133957,99662200
4/6/16,204.190002,206.490005,203.979996,206.419998,187.155869,91839800
4/7/16,205.139999,205.559998,203.089996,203.949997,184.916351,113859000
4/8/16,205.339996,205.850006,203.869995,204.5,185.41507,95040600
4/11/16,205.25,206.070007,203.910004,204.020004,184.979843,83757500
